<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
LKOH,D,20101001,000000,1749.0000000,1823905
LKOH,D,20101004,000000,1740.0100000,1286354
LKOH,D,20101005,000000,1754.1000000,1445622
LKOH,D,20101006,000000,1760.5800000,1880001
LKOH,D,20101007,000000,1742.9500000,1042367
LKOH,D,20101008,000000,1728.5000000,1461084
LKOH,D,20101011,000000,1750.0000000,964259
LKOH,D,20101012,000000,1757.5000000,1158977
LKOH,D,20101013,000000,1785.0000000,1956565
LKOH,D,20101014,000000,1797.0000000,1287925
LKOH,D,20101015,000000,1785.0000000,2894117
LKOH,D,20101018,000000,1780.1000000,1496634
LKOH,D,20101019,000000,1751.1300000,1544703
LKOH,D,20101020,000000,1745.8100000,1322673
LKOH,D,20101021,000000,1758.4900000,1768720
LKOH,D,20101022,000000,1735.0000000,1506662
LKOH,D,20101025,000000,1740.7300000,972103
LKOH,D,20101026,000000,1740.8500000,1067033
LKOH,D,20101027,000000,1730.9900000,1263633
LKOH,D,20101028,000000,1709.0500000,1385073
LKOH,D,20101029,000000,1734.1300000,1052034
LKOH,D,20101101,000000,1750.0000000,1288236
LKOH,D,20101102,000000,1758.0000000,836752
LKOH,D,20101103,000000,1754.8800000,1279474
LKOH,D,20101108,000000,1772.0000000,1164373
LKOH,D,20101109,000000,1800.0000000,1609534
LKOH,D,20101110,000000,1769.0700000,1210973
LKOH,D,20101111,000000,1756.0000000,1024633
LKOH,D,20101112,000000,1741.5400000,1275747
LKOH,D,20101113,000000,1731.1000000,378176
LKOH,D,20101115,000000,1748.3400000,1553835
LKOH,D,20101116,000000,1719.0000000,1123671
LKOH,D,20101117,000000,1724.9000000,1529797
LKOH,D,20101118,000000,1732.0000000,1427956
LKOH,D,20101119,000000,1745.6400000,1094060
LKOH,D,20101122,000000,1722.0000000,1474923
LKOH,D,20101123,000000,1701.0000000,1926595
LKOH,D,20101124,000000,1727.0000000,2010563
LKOH,D,20101125,000000,1723.0000000,1096932
LKOH,D,20101126,000000,1713.3500000,1467546
LKOH,D,20101129,000000,1682.9000000,1827813
LKOH,D,20101130,000000,1735.0000000,3116734
LKOH,D,20101201,000000,1790.0300000,3390518
LKOH,D,20101202,000000,1798.0100000,2228644
LKOH,D,20101203,000000,1812.0000000,2116444
LKOH,D,20101206,000000,1846.7800000,2330549
LKOH,D,20101207,000000,1816.0000000,2389931
LKOH,D,20101208,000000,1779.4900000,1959427
LKOH,D,20101209,000000,1785.2300000,4538189
LKOH,D,20101210,000000,1770.0000000,1817883
LKOH,D,20101213,000000,1761.8800000,1835282
LKOH,D,20101214,000000,1743.4000000,2380540
LKOH,D,20101215,000000,1757.8000000,2525319
LKOH,D,20101216,000000,1753.0900000,1043417
LKOH,D,20101217,000000,1761.9000000,1228380
LKOH,D,20101220,000000,1743.0000000,1220238
LKOH,D,20101221,000000,1751.0500000,1662865
LKOH,D,20101222,000000,1762.0500000,1138342
LKOH,D,20101223,000000,1760.8600000,822872
LKOH,D,20101224,000000,1752.0000000,725630
LKOH,D,20101227,000000,1735.7000000,428962
LKOH,D,20101228,000000,1742.1800000,535525
LKOH,D,20101229,000000,1745.0000000,611186
LKOH,D,20101230,000000,1742.0000000,1109440
LKOH,D,20110111,000000,1798.0000000,2371190
LKOH,D,20110112,000000,1866.0000000,3264504
LKOH,D,20110113,000000,1903.0000000,3856443
LKOH,D,20110114,000000,1893.0000000,2138777
LKOH,D,20110117,000000,1924.9700000,2222558
LKOH,D,20110118,000000,1907.0000000,2200815
LKOH,D,20110119,000000,1932.7000000,2356217
LKOH,D,20110120,000000,1894.0000000,2079151
LKOH,D,20110121,000000,1931.0000000,2030120
LKOH,D,20110124,000000,1884.0000000,1950370
LKOH,D,20110125,000000,1889.8800000,1655736
LKOH,D,20110126,000000,1896.7800000,1835020
LKOH,D,20110127,000000,1880.0400000,3443807
LKOH,D,20110128,000000,1849.0500000,2015354
LKOH,D,20110131,000000,1834.9900000,2239576
LKOH,D,20110201,000000,1904.0000000,3024620
LKOH,D,20110202,000000,1955.0000000,3861322
LKOH,D,20110203,000000,1951.0000000,2340032
LKOH,D,20110204,000000,1965.0000000,1922580
LKOH,D,20110207,000000,1977.4800000,1491447
LKOH,D,20110208,000000,1933.0700000,2642960
LKOH,D,20110209,000000,1932.0000000,1806291
LKOH,D,20110210,000000,1893.9800000,2147027
LKOH,D,20110211,000000,1932.8600000,1531994
LKOH,D,20110214,000000,1912.9900000,1271740
LKOH,D,20110215,000000,1894.9000000,1489733
LKOH,D,20110216,000000,1915.9600000,1167929
LKOH,D,20110217,000000,1908.8000000,1651642
LKOH,D,20110218,000000,1923.1700000,1122018
LKOH,D,20110221,000000,1956.7100000,1588365
LKOH,D,20110222,000000,1948.8600000,1843359
LKOH,D,20110224,000000,1993.0000000,4338011
LKOH,D,20110225,000000,2006.0100000,2228797
LKOH,D,20110228,000000,2038.0300000,2504915
LKOH,D,20110301,000000,2030.0000000,1787767
LKOH,D,20110302,000000,2017.0000000,1670634
LKOH,D,20110303,000000,2035.0000000,2059624
LKOH,D,20110304,000000,2049.1000000,1801221
LKOH,D,20110305,000000,2065.5000000,548618
LKOH,D,20110309,000000,2042.1000000,2368319
LKOH,D,20110310,000000,1983.5000000,2949556
LKOH,D,20110311,000000,1991.5000000,2071746
LKOH,D,20110314,000000,1975.4000000,2040893
LKOH,D,20110315,000000,1927.7000000,3286199
LKOH,D,20110316,000000,1934.8000000,2990723
LKOH,D,20110317,000000,1989.0000000,2993319
LKOH,D,20110318,000000,2012.0000000,2577818
LKOH,D,20110321,000000,2012.0000000,1205794
LKOH,D,20110322,000000,1971.0000000,2428744
LKOH,D,20110323,000000,2016.3000000,1962582
LKOH,D,20110324,000000,2051.0000000,3169737
LKOH,D,20110325,000000,2046.3000000,1708238
LKOH,D,20110328,000000,2027.5000000,1130281
LKOH,D,20110329,000000,1995.0000000,2548708
LKOH,D,20110330,000000,2032.5000000,2349142
LKOH,D,20110331,000000,2032.7000000,1657949
LKOH,D,20110401,000000,2057.0000000,2376879
LKOH,D,20110404,000000,2059.9000000,2539343
LKOH,D,20110405,000000,2050.1000000,2053214
LKOH,D,20110406,000000,2070.0000000,2589073
LKOH,D,20110407,000000,2035.2000000,1955573
LKOH,D,20110408,000000,2047.1000000,1827111
LKOH,D,20110411,000000,2027.6000000,1590555
LKOH,D,20110412,000000,1980.0000000,2169804
