<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
LNZL,D,20101001,000000,1520.0000000,78
LNZL,D,20101004,000000,1517.0000000,1
LNZL,D,20101005,000000,1531.0000000,6
LNZL,D,20101006,000000,1550.0000000,6
LNZL,D,20101007,000000,1670.0000000,69
LNZL,D,20101008,000000,1515.0000000,520
LNZL,D,20101011,000000,1503.0100000,90
LNZL,D,20101012,000000,1517.9900000,1
LNZL,D,20101013,000000,1535.0000000,287
LNZL,D,20101014,000000,1580.0800000,10
LNZL,D,20101015,000000,1631.1900000,458
LNZL,D,20101018,000000,1639.8500000,13
LNZL,D,20101019,000000,1640.3100000,23
LNZL,D,20101020,000000,1623.8200000,57
LNZL,D,20101021,000000,1520.7800000,25
LNZL,D,20101022,000000,1639.8800000,55
LNZL,D,20101025,000000,1607.5900000,4
LNZL,D,20101026,000000,1605.0000000,7
LNZL,D,20101027,000000,1606.0000000,3
LNZL,D,20101028,000000,1639.9000000,20
LNZL,D,20101029,000000,1609.1500000,22
LNZL,D,20101101,000000,1639.9200000,31
LNZL,D,20101102,000000,1778.0000000,72
LNZL,D,20101103,000000,1805.5600000,12
LNZL,D,20101108,000000,1742.9500000,93
LNZL,D,20101109,000000,1800.0000000,307
LNZL,D,20101110,000000,1814.5100000,21
LNZL,D,20101111,000000,1796.5500000,6
LNZL,D,20101112,000000,1778.7600000,1
LNZL,D,20101116,000000,1796.4700000,5
LNZL,D,20101117,000000,1796.5500000,20
LNZL,D,20101118,000000,1796.6000000,40
LNZL,D,20101119,000000,1800.0000000,5
LNZL,D,20101122,000000,1814.5600000,179
LNZL,D,20101124,000000,1779.9800000,3
LNZL,D,20101125,000000,1774.0000000,12
LNZL,D,20101126,000000,1745.0000000,126
LNZL,D,20101129,000000,1761.3600000,16
LNZL,D,20101201,000000,1762.0000000,48
LNZL,D,20101202,000000,1749.9900000,129
LNZL,D,20101203,000000,1727.3000000,19
LNZL,D,20101206,000000,1740.0000000,97
LNZL,D,20101207,000000,1690.0000000,1234
LNZL,D,20101208,000000,2125.9700000,5513
LNZL,D,20101209,000000,1830.0000000,1459
