<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
QIWI,D,20131008,000000,1340.0000000,630
QIWI,D,20131009,000000,1350.0000000,127
QIWI,D,20131010,000000,1310.0000000,49
QIWI,D,20131011,000000,1304.8000000,2
QIWI,D,20131014,000000,1310.0000000,4
QIWI,D,20131015,000000,1350.0000000,75
QIWI,D,20131016,000000,1304.4000000,51
QIWI,D,20131018,000000,1350.0000000,1
QIWI,D,20131021,000000,1363.5000000,2
QIWI,D,20131024,000000,1372.0000000,38
QIWI,D,20131025,000000,1920.0000000,7
QIWI,D,20131028,000000,1450.0000000,420
QIWI,D,20131029,000000,1450.0000000,3
QIWI,D,20131030,000000,1499.6000000,1150
QIWI,D,20131031,000000,1400.0000000,1057
QIWI,D,20131101,000000,1384.4000000,1206
QIWI,D,20131105,000000,1450.0000000,1009
QIWI,D,20131106,000000,1500.0000000,1423
QIWI,D,20131107,000000,1455.9000000,1207
QIWI,D,20131108,000000,1489.9000000,1033
QIWI,D,20131111,000000,1435.0000000,1259
QIWI,D,20131112,000000,1414.1000000,1200
QIWI,D,20131113,000000,1367.7000000,1494
QIWI,D,20131114,000000,1375.0000000,64
QIWI,D,20131115,000000,1377.0000000,208
QIWI,D,20131118,000000,1351.0000000,1011
QIWI,D,20131119,000000,1400.0000000,1045
QIWI,D,20131120,000000,1550.0000000,1113
QIWI,D,20131121,000000,1550.0000000,1088
QIWI,D,20131122,000000,1500.0000000,1125
QIWI,D,20131125,000000,1505.0000000,1053
QIWI,D,20131126,000000,1525.0000000,1021
QIWI,D,20131127,000000,1581.0000000,1011
QIWI,D,20131128,000000,1670.0000000,1159
QIWI,D,20131129,000000,1790.0000000,1063
QIWI,D,20131202,000000,1800.0000000,2015
QIWI,D,20131203,000000,2000.0000000,1763
QIWI,D,20131204,000000,1799.0000000,1402
QIWI,D,20131205,000000,1649.9000000,339
QIWI,D,20131206,000000,1698.0000000,1057
QIWI,D,20131209,000000,1634.0000000,1090
QIWI,D,20131210,000000,1695.0000000,1153
QIWI,D,20131211,000000,1710.0000000,1501
QIWI,D,20131212,000000,1738.0000000,1023
QIWI,D,20131213,000000,1640.0000000,1065
